Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Functional_Type,Species_Category,USDA_PLANTS_Symbol,ITIS_Number,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Min_Last_Yes_DOY,Max_Last_Yes_DOY,Median_Last_Yes_DOY,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Observed_Status_Conflict_Flag,Observed_Status_Conflict_Flag_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
-9999,21,9050039,37.629002,-106.672997,2576,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,373,Leaves,Breaking leaf buds (lilac/honeysuckle),2,2009,121,2454953,0.5,0.707106781187,120,121,121,5,3,4.24264068712,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',160.75,4.5,289.35,8.1,2.31,12.91,22.95,14.94,-13.38,-4.16,4.52,-3.45,217,112,107,72,110,0,48730,0
-9999,21,9050039,37.629002,-106.672997,2576,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,374,Leaves,All leaf buds broken (lilac/honeysuckle),2,2009,125,2454957,0,0,125,125,125,4,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',196.75,0,354.15,0,2.31,12.91,22.95,14.94,-13.38,-4.16,4.52,-3.45,217,112,107,72,112,0,49421,0
-9999,62,PPN_56320,38.38916,-108.950043,1657,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,373,Leaves,Breaking leaf buds (lilac/honeysuckle),1,2009,90,2454922,-9999,-9999,90,90,90,13,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',327.5,-9999,589.5,-9999,7.05,20.09,32.2,21.3,-6.22,2.6,13.24,3.2,87,68,61,53,35,-9999,44582,-9999
-9999,62,PPN_56320,38.38916,-108.950043,1657,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,374,Leaves,All leaf buds broken (lilac/honeysuckle),1,2009,90,2454922,-9999,-9999,90,90,90,13,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',327.5,-9999,589.5,-9999,7.05,20.09,32.2,21.3,-6.22,2.6,13.24,3.2,87,68,61,53,35,-9999,44582,-9999
-9999,63,PPN_58690,40.965267,-105.218773,2136,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,373,Leaves,Breaking leaf buds (lilac/honeysuckle),1,2009,122,2454954,-9999,-9999,122,122,122,6,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',325,-9999,585,-9999,3.7,12,23.45,14.55,-8.33,-1.47,8.01,0.33,46,176,198,75,147,-9999,49766,-9999
-9999,63,PPN_58690,40.965267,-105.218773,2136,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,374,Leaves,All leaf buds broken (lilac/honeysuckle),1,2009,172,2455004,-9999,-9999,172,172,172,6,-9999,-9999,1,2009,157,2454989,-9999,-9999,157,157,157,9,-9999,-9999,1,'2957',-9999,'',891.75,-9999,1605.15,-9999,3.7,12,23.45,14.55,-8.33,-1.47,8.01,0.33,46,176,198,75,279,-9999,53914,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,180,Leaves,>=75% of full leaf size (deciduous),3,2009,139,2454971,0,0,139,139,139,9,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',369.25,0,664.65,0,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,0,51494,0
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,371,Leaves,Breaking leaf buds,3,2009,129,2454961,0.666666666667,1.15470053838,128,130,128,11.3333333333,2.33333333333,4.04145188433,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',250.083333333,5.83333333333,450.15,10.5,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,0,50227.3333333,115.333333333
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,483,Leaves,Leaves,3,2009,130,2454962,0,0,130,130,130,6.66666666667,4.66666666667,8.08290376865,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',261.75,0,471.15,4.01943669423e-14,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,0,50458,0
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,29,Prunus,virginiana,chokecherry,Plantae,Deciduous broadleaf,"Ornamental,Calibration",PRVI,24806,180,Leaves,>=75% of full leaf size (deciduous),2,2009,139,2454971,0,0,139,139,139,9,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',369.25,0,664.65,0,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,0,51494,0
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,29,Prunus,virginiana,chokecherry,Plantae,Deciduous broadleaf,"Ornamental,Calibration",PRVI,24806,371,Leaves,Breaking leaf buds,2,2009,118,2454950,0,0,118,118,118,4,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',163.5,0,294.3,0,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,204,0,48730,0
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,29,Prunus,virginiana,chokecherry,Plantae,Deciduous broadleaf,"Ornamental,Calibration",PRVI,24806,483,Leaves,Leaves,2,2009,130,2454962,0,0,130,130,130,11.5,0.5,0.707106781187,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',261.75,0,471.15,0,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,0,50458,0
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,374,Leaves,All leaf buds broken (lilac/honeysuckle),1,2009,135,2454967,-9999,-9999,135,135,135,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',318.5,-9999,573.3,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,-9999,50803,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",SYVU,32996,373,Leaves,Breaking leaf buds (lilac/honeysuckle),2,2009,123,2454955,5,7.07106781187,118,128,123,9,5,7.07106781187,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',203.875,40.375,366.975,72.675,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,210.5,6.5,49421,691
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",SYVU,32996,374,Leaves,All leaf buds broken (lilac/honeysuckle),2,2009,139,2454971,0,0,139,139,139,16,5,7.07106781187,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',369.25,0,664.65,0,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,0,51494,0
